Feature	Gain	Cover	Frequency
mpasivos_margen	0.102565992161765	0.0257065929147802	0.0340512820512821
cpayroll_trx	0.0615481531052284	0.0137944306974494	0.00471794871794872
mpayroll	0.0539619596709041	0.0286874782669017	0.0101538461538462
mcaja_ahorro	0.047014245582676	0.018985506249094	0.0254358974358974
mtarjeta_visa_consumo	0.039827211805115	0.00929588863952356	0.013025641025641
ctarjeta_visa_trx	0.0317305889062735	0.0192617663411417	0.0191794871794872
mactivos_margen	0.0286822742437423	0.0201024034657862	0.0222564102564103
Visa_mpagominimo	0.0276004231255724	0.00827857800392996	0.013025641025641
mcuentas_saldo	0.0242193690450838	0.029051672091038	0.0305641025641026
mprestamos_personales	0.0229110076442023	0.0160772496915913	0.00441025641025641
%rentab_mes	0.0221930881390712	0.0136472674544241	0.0233846153846154
Visa_msaldototal	0.0211852695421976	0.0132336161925602	0.017025641025641
ctrx_quarter	0.0207926824570538	0.0130523303028612	0.0144615384615385
mrentabilidad_annual	0.0192911196821376	0.0152190238302902	0.0244102564102564
Visa_mconsumospesos	0.0184110346404105	0.0129097446094042	0.0209230769230769
cliente_edad	0.0163991618374461	0.0161540132076137	0.021025641025641
Visa_Fvencimiento	0.016381453212257	0.0149625168597494	0.0246153846153846
Master_mfinanciacion_limite	0.0152385241433792	0.0107600576737412	0.0196923076923077
mcuenta_corriente	0.0150292047096387	0.0118810199534739	0.018974358974359
Master_Fvencimiento	0.0141090847520739	0.0187851389435313	0.0242051282051282
mrentabilidad	0.0140176780145453	0.017810658249986	0.0183589743589744
Master_fechaalta	0.0128168011158983	0.0188206050014914	0.0225641025641026
cliente_antiguedad	0.0125375110638007	0.0130903538178627	0.0202051282051282
Visa_mpagospesos	0.0122604031269373	0.0114436301166201	0.0193846153846154
mcomisiones_otras	0.012245342339834	0.0125401671889278	0.0197948717948718
%edad	0.0119761055024761	0.0122531747333812	0.0178461538461538
numero_de_cliente	0.0118657674605337	0.0111171463448518	0.0198974358974359
chomebanking_trx	0.0116084465702496	0.0114643783575984	0.0166153846153846
Visa_fechaalta	0.0115842637520478	0.0124506810704637	0.0191794871794872
no_null	0.0114173534538694	0.0199870740946504	0.0249230769230769
Visa_mfinanciacion_limite	0.0110227504658485	0.0133582399795587	0.0183589743589744
mautoservicio	0.0109157167722649	0.012948106465026	0.0148717948717949
Visa_msaldopesos	0.0107338196470549	0.0161822397714195	0.0215384615384615
ccomisiones_otras	0.0101646162435261	0.0149619844708323	0.0152820512820513
mcaja_ahorro_dolares	0.00899161393577678	0.0166435572559626	0.0136410256410256
Master_mlimitecompra	0.00895358359883472	0.0102277981220832	0.0138461538461538
Visa_mlimitecompra	0.00796700352351425	0.0107570225593534	0.013025641025641
cproductos	0.00761990811292953	0.00728134390367148	0.00830769230769231
mcomisiones_mantenimiento	0.00760469597053158	0.0177059816327913	0.00984615384615385
mtarjeta_visa_debitos_automaticos	0.00731958830025801	0.00986324107933982	0.0123076923076923
mtransferencias_recibidas	0.00727888577194597	0.00702679234289202	0.0127179487179487
ctransferencias_recibidas	0.00677548214746986	0.0122948851660242	0.00882051282051282
Visa_mconsumototal	0.00629958663158716	0.00513231872245687	0.0129230769230769
mtransferencias_emitidas	0.00629259881448304	0.0122850732880364	0.0129230769230769
mcomisiones	0.0062528024591846	0.00786767824740435	0.0121025641025641
ccomisiones_mantenimiento	0.00611618341018995	0.0154204210845058	0.00646153846153846
Visa_cconsumos	0.00594268826715638	0.00973152706610772	0.00923076923076923
Master_mpagominimo	0.00482976782273943	0.00768844230381641	0.00615384615384615
mpagomiscuentas	0.00467326507251777	0.0149241251505435	0.0108717948717949
mcuenta_debitos_automaticos	0.00450849856234723	0.00914755115552203	0.00758974358974359
thomebanking	0.004371222434883	0.00475801448449132	0.00256410256410256
Master_mpagospesos	0.00426382502028602	0.0133433032362932	0.00861538461538462
ctarjeta_debito_trx	0.00408177392865206	0.00631577948058973	0.0121025641025641
Visa_mpagado	0.00376935934659288	0.00945934696389273	0.00615384615384615
Master_msaldototal	0.00374355870405941	0.00423284018346958	0.00625641025641026
Master_status	0.00372013401231283	0.0103836139289121	0.00184615384615385
ccuenta_debitos_automaticos	0.00367757638559919	0.00582133446884426	0.00656410256410256
ccallcenter_trx	0.00364026910377645	0.00707918538306027	0.00287179487179487
cprestamos_personales	0.00357170626200655	0.00687945992955659	0.00225641025641026
ctarjeta_visa_debitos_automaticos	0.00333254218160107	0.00490563050687609	0.00533333333333333
cextraccion_autoservicio	0.00318619667685878	0.00637221270581179	0.00666666666666667
tcallcenter	0.00317072483066892	0.00255304368659562	0.00153846153846154
cpagomiscuentas	0.00316647065951391	0.00692237445675993	0.00646153846153846
mextraccion_autoservicio	0.00315940528409298	0.0100126234387863	0.0105641025641026
ctarjeta_debito	0.00307348819190865	0.0039890757177599	0.00430769230769231
mdescubierto_preacordado	0.00294230358863942	0.00635621616030933	0.00184615384615385
ccaja_ahorro	0.00288733633948921	0.00929906804623463	0.00317948717948718
cmobile_app_trx	0.00283061838033879	0.00204348281007986	0.0038974358974359
ctransferencias_emitidas	0.00277420559703236	0.0132317503435513	0.00533333333333333
Master_msaldopesos	0.00260105998253336	0.00425052843207339	0.00523076923076923
mplazo_fijo_dolares	0.00248425927909561	0.0155994928333809	0.00266666666666667
Master_mconsumospesos	0.0023318898203457	0.004050653710649	0.00451282051282051
Visa_mconsumosdolares	0.00229480220881366	0.0047393112140267	0.00564102564102564
ccajas_consultas	0.00227468349338585	0.00908045522516412	0.00174358974358974
Visa_fultimo_cierre	0.00221536446341993	0.00244724258439831	0.0041025641025641
catm_trx	0.00184720239363246	0.00385272942338852	0.00379487179487179
Master_fultimo_cierre	0.00176271942819454	0.0014325192594303	0.00235897435897436
inversiones	0.00161526289434214	0.0103815092512302	0.00153846153846154
Visa_Finiciomora	0.00136779480773791	0.00565714970726098	0.00112820512820513
