Feature	Gain	Cover	Frequency
matm	0.000606514109301501	0.000641188619034648	0.00272108843537415
ctarjeta_visa_trx2	0.000549882308028186	0.000342408976361947	0.00374149659863946
mrentabilidad	0.000531992003888623	0.0103685741075589	0.0214285714285714
cpayroll_trx	0.000490647372033591	0.0251334545403247	0.00816326530612245
Visa_msaldodolares	0.000465563258943734	0.005328181950629	0.00816326530612245
mcuenta_corriente	0.000400907478978674	0.0213936297163169	0.0255102040816327
Visa_fechaalta	0.000350480416732584	0.0147460424380292	0.022108843537415
Master_msaldopesos	0.000316782548315903	0.00654469344201361	0.0054421768707483
mextraccion_autoservicio	0.000294232108944915	0.00357112636367951	0.00374149659863946
Visa_mconsumosdolares	0.00021950072514544	0.00322942640983198	0.00476190476190476
Master_mpagosdolares	0.000174754085008057	0.00400080623194606	0.00374149659863946
Master_mconsumospesos	0.000144217681749908	0.000854592171349911	0.00340136054421769
ccheques_depositados	0.000131498138769545	0.0028315669830317	0.00204081632653061
ccomisiones_otras	0.000131014216520953	0.0180065191441824	0.00918367346938776
ctarjeta_visa_descuentos	0.000109999944341399	0.00779055602059011	0.00408163265306122
Master_mpagominimo	0.000106442111753943	0.00229871211439047	0.00408163265306122
Master_msaldodolares	0.000103378959657527	0.0037979891192427	0.00306122448979592
ccajas_trx	0.000100643034579803	5.10985191429111e-06	0.000340136054421769
mcajeros_propios_descuentos	8.28594937416605e-05	0.00119399391428862	0.00272108843537415
ctarjeta_debito	7.71581691839848e-05	0.00126751221431863	0.00578231292517007
Visa_mpagosdolares	6.54284844027777e-05	0.00548372682086211	0.00476190476190476
catm_trx	5.31130753233208e-05	0.00272935772021977	0.00136054421768707
cpagomiscuentas	5.03425285644482e-05	0.0011162703772765	0.00306122448979592
cprestamos_personales	4.75877746414033e-05	0.000759118622424998	0.00238095238095238
cinversion2	4.66572764724865e-05	0.00387640945424312	0.00170068027210884
mcheques_depositados	4.28669143291918e-05	0.000730024250281427	0.00272108843537415
mplazo_fijo_dolares	3.26376020229867e-05	0.0100029874296909	0.00374149659863946
ctarjeta_debito_trx	3.11540338423155e-05	0.00440010815282741	0.0054421768707483
ccuenta_corriente	2.77338154537982e-05	3.33729562823319e-06	0.000340136054421769
Visa_fultimo_cierre	2.76089575733329e-05	0.000152574310388199	0.00374149659863946
active_quarter	2.14787754052778e-05	0.000151963084082662	0.00170068027210884
ctarjeta_master_trx	1.94462407221019e-05	0.00363929032127302	0.00170068027210884
ccomisiones_mantenimiento	1.85026492806047e-05	0.00218860580771099	0.00340136054421769
ccuenta_debitos_automaticos	1.66152787322792e-05	0.000806268619634139	0.00340136054421769
ccajas_depositos	1.60490400086452e-05	0.000267839367086407	0.000680272108843537
ctransferencias_recibidas	1.29495325182951e-05	0.00419846459463068	0.0054421768707483
Master_mpagado	1.16776071881547e-05	0.0114257266765638	0.00306122448979592
ccaja_seguridad	9.14871095299224e-06	0.00946098861551887	0.00476190476190476
